Series,Episode,Baker,Signature Bake,Show Stopper,Baker Name,technical,result,Baker Age,Baker Occupation,Hometown
1,1,Annetha,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Annetha Mills,2,IN,30,Midwife,Essex
1,1,David,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",David Chambers,3,IN,31,Entrepreneur,Milton Keynes
1,1,Edd,Caramel Cinnamon and Banana Cake,N/A,Edd Kimber,1,IN,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,Jasminder Randhawa,NA,IN,45,Assistant Credit Control Manager,Birmingham
1,1,Jonathan,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,Jonathan Shepherd,9,IN,25,Research Analyst,St Albans
1,1,Lea,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,Lea Harris,10,OUT,51,Retired,"Midlothian, Scotland"
1,1,Louise,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",Louise Brimelow,NA,IN,44,Police Officer,Manchester
1,1,Mark,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,Mark Whithers,NA,OUT,48,Bus Driver,South Wales
1,1,Miranda,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,Miranda Browne,8,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,1,Ruth,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,Ruth Clemens,NA,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,2,Annetha,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,Annetha Mills,7,OUT,30,Midwife,Essex
1,2,David,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,David Chambers,8,IN,31,Entrepreneur,Milton Keynes
1,2,Edd,Oatmeal Raisin Cookie,Pink Macarons,Edd Kimber,6,IN,24,Debt collector for Yorkshire Bank,Bradford
1,2,Jasminder,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Jasminder Randhawa,2,IN,45,Assistant Credit Control Manager,Birmingham
1,2,Jonathan,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,Jonathan Shepherd,1,IN,25,Research Analyst,St Albans
1,2,Louise,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",Louise Brimelow,4,OUT,44,Police Officer,Manchester
1,2,Miranda,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,Miranda Browne,3,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,2,Ruth,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Ruth Clemens,5,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,3,David,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",David Chambers,4,IN,31,Entrepreneur,Milton Keynes
1,3,Edd,Olive Bread,Tomato and Mozzarella,Edd Kimber,1,IN,24,Debt collector for Yorkshire Bank,Bradford
1,3,Jasminder,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",Jasminder Randhawa,5,IN,45,Assistant Credit Control Manager,Birmingham
1,3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",Jonathan Shepherd,6,OUT,25,Research Analyst,St Albans
1,3,Miranda,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",Miranda Browne,3,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,3,Ruth,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",Ruth Clemens,2,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,4,David,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",David Chambers,5,OUT,31,Entrepreneur,Milton Keynes
1,4,Edd,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",Edd Kimber,3,IN,24,Debt collector for Yorkshire Bank,Bradford
1,4,Jasminder,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",Jasminder Randhawa,2,IN,45,Assistant Credit Control Manager,Birmingham
1,4,Miranda,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",Miranda Browne,1,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,4,Ruth,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",Ruth Clemens,4,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,5,Edd,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",Edd Kimber,2,IN,24,Debt collector for Yorkshire Bank,Bradford
1,5,Jasminder,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",Jasminder Randhawa,4,OUT,45,Assistant Credit Control Manager,Birmingham
1,5,Miranda,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",Miranda Browne,1,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,5,Ruth,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",Ruth Clemens,3,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,6,Edd,Cinnamon and Banana Cake,NA,Edd Kimber,NA,WINNER,24,Debt collector for Yorkshire Bank,Bradford
1,6,Miranda,Lemon Cupcake,Eliminated after signature,Miranda Browne,NA,Runner-up,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,6,Ruth,"Mint, Ginger and Blackberry Cake",NA,Ruth Clemens,NA,Runner-up,31,Retail manager/Housewife,"Poynton, Cheshire"
2,1,Ben,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,Ben Frazer,2,IN,31,Graphic Designer,Northampton
2,1,Holly,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,Holly Bell,1,STAR BAKER,31,Advertising executive,Leicester
2,1,Ian,Apple and Cinnamon Cupcakes,UNKNOWN,Ian Vallance,10,IN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,1,Janet,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,Janet Basu,8,IN,63,Teacher of Modern Languages,"Formby, Liverpool"
